Identifier,Name,Age,Occupation,City_Tier,Dependents,Income,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous
 00000,Gopal Palla,49,Self_Employed,Tier_1,0,44637.25,13391.17,0.0,2206.49,6658.77,2636.97,1651.8,1536.18,2911.79,1546.91,0.0,831.53
 00001,Pranav Nanda,34,Retired,Tier_2,2,26858.6,5371.72,0.0,869.52,2818.44,1543.02,649.38,1050.24,1626.14,1137.35,1551.72,564.24
 00002,Neelima Sengupta,35,Student,Tier_3,1,50367.61,7555.14,4612.1,2201.8,6313.22,3221.4,1513.81,1723.31,3368.46,2178.52,3160.03,628.37
 00003,Balendra Babu,21,Self_Employed,Tier_3,0,101455.6,15218.34,6809.44,4889.42,14690.15,7106.13,5040.25,2858.19,6128.55,4571.12,0.0,2526.06
 00004,Anamika Char,52,Professional,Tier_2,4,24875.28,4975.06,3112.61,635.91,3034.33,1276.16,692.83,660.19,1092.69,1169.1,1445.22,515.51
 00005,Ekanta Chatterjee,57,Self_Employed,Tier_2,4,24875.61,4975.12,0.0,1038.23,3250.07,1760.16,1049.07,751.02,1024.31,1022.3,2003.85,402.22
 00006,Ojasvi Majumdar,53,Self_Employed,Tier_2,0,106119.69,21223.94,0.0,4360.2,12790.39,6345.74,4390.91,2626.77,6202.55,3807.1,0.0,2776.77
 00007,Sathvik Lanka,40,Professional,Tier_2,1,55431.34,11086.27,8307.7,1755.44,8194.48,3353.0,1741.91,1219.68,2361.98,2574.45,5520.44,850.04
 00008,Ekalinga Sehgal,32,Retired,Tier_1,4,20606.73,6182.02,3562.49,1018.59,3066.87,1170.79,688.06,418.23,921.23,830.24,1939.23,446.07
 00009,Dayamai Master,30,Student,Tier_2,1,46304.79,9260.96,0.0,2130.25,5065.63,2500.05,2040.31,1016.61,2945.43,1649.76,3085.99,919.53
 00010,Wriddhish Bhatti,31,Student,Tier_3,0,20706.82,3106.02,0.0,1031.78,3037.27,1459.28,451.41,785.29,1548.08,819.1,0.0,410.03
 00011,Aradhana Choudhry,31,Professional,Tier_2,4,20668.56,4133.71,0.0,754.45,2597.4,1123.04,878.88,643.15,1408.9,1019.25,1506.36,483.81
 00012,Lajita Kapur,54,Retired,Tier_1,3,36407.22,10922.17,4583.25,970.79,4685.67,2503.09,1328.96,822.88,2335.94,1153.75,1940.13,570.12
 00013,Qabil Viswanathan,22,Retired,Tier_3,3,6492.02,973.8,0.0,184.24,955.5,494.82,309.24,229.83,471.87,222.65,590.05,179.09
 00014,Manan Sodhi,39,Self_Employed,Tier_2,4,7547.85,1509.57,0.0,330.19,1032.73,568.24,266.44,277.47,510.6,235.71,521.98,133.49
 00015,Guneet Dixit,45,Student,Tier_2,2,19132.1,3826.42,2525.41,590.19,2515.72,1164.07,661.75,660.75,1159.58,919.43,1442.91,461.51
 00016,Vansha Jayaraman,62,Retired,Tier_2,4,13342.21,2668.44,2540.48,352.89,1920.1,961.38,622.27,331.7,985.63,531.56,1043.2,286.26
 00017,Nidhi Prabhu,21,Professional,Tier_2,4,38574.65,7714.93,0.0,1838.34,5126.82,2614.48,1267.55,1802.74,2081.39,1196.04,3475.98,843.8
 00018,Daniel Edwin,55,Student,Tier_1,4,14509.13,4352.74,829.44,438.6,1506.25,811.7,515.58,414.23,766.34,656.65,1449.96,285.02
 00019,Wridesh Cheema,46,Professional,Tier_2,0,9692.52,1938.5,0.0,217.59,1306.54,562.1,396.06,427.91,723.64,305.65,0.0,155.46
 00020,Thomas Sama,54,Retired,Tier_2,4,96903.57,19380.71,9481.17,3585.07,14257.03,6271.72,2829.05,3879.58,4066.69,3956.93,6227.47,2131.73
 00021,Widisha Guha,52,Self_Employed,Tier_2,4,25042.55,5008.51,2898.04,914.22,3170.69,1947.5,1098.41,839.59,1321.02,1066.04,1470.45,407.47
 00022,Udarsh Varty,37,Student,Tier_1,0,31665.25,9499.58,0.0,1034.49,4019.47,2180.72,1373.34,876.08,1686.6,1579.08,0.0,623.56
 00023,Chanakya Banerjee,52,Retired,Tier_2,4,9596.5,1919.3,0.0,320.45,1092.98,627.38,429.72,379.45,515.08,417.07,540.69,258.72
 00024,Parth Saran,52,Retired,Tier_1,3,19408.11,5822.43,2832.16,516.12,2486.69,1346.56,956.59,930.29,1041.33,592.63,1604.7,452.33
 00025,Finn Doctor,37,Professional,Tier_2,3,32783.83,6556.77,0.0,946.62,4815.61,1788.11,1519.47,1452.26,1557.94,1175.05,2225.12,973.88
 00026,Nilima Lala,19,Student,Tier_2,4,11946.07,2389.21,0.0,413.3,1363.79,641.89,475.93,497.31,699.28,404.44,782.14,130.97
 00027,Chameli Naidu,35,Retired,Tier_3,0,40518.38,6077.76,0.0,1992.04,6013.17,3205.86,1070.64,1146.63,2250.44,1221.91,0.0,1073.1
 00028,Neha Dixit,47,Self_Employed,Tier_2,4,18554.02,3710.8,1192.22,916.64,2512.97,1393.71,674.69,773.19,1169.74,795.08,1575.38,416.6
 00029,Girindra Bhatia,59,Student,Tier_2,4,23756.17,4751.23,0.0,537.26,2635.31,1579.26,597.59,1039.08,1446.64,1068.19,2353.88,325.9
 00030,Kritika Sen,46,Professional,Tier_2,1,18538.17,3707.63,3359.64,874.84,2506.83,1186.58,729.46,409.26,946.04,746.65,1722.13,294.46
 00031,Zayan Ahuja,56,Self_Employed,Tier_3,2,132028.78,19804.32,0.0,4383.84,15998.75,7954.56,5733.45,4929.44,6807.52,5860.84,8512.72,2002.06
 00032,Timothy Parmar,39,Retired,Tier_1,0,29677.81,8903.34,2892.44,1002.34,3838.26,1959.41,769.22,1051.78,1756.56,1046.76,0.0,397.73
 00033,Alexander Ahuja,46,Retired,Tier_2,2,12871.67,2574.33,0.0,396.18,1841.4,1013.27,281.06,564.11,877.64,556.88,1265.06,347.85
 00034,Indira Ramachandran,63,Retired,Tier_2,1,57929.88,11585.98,0.0,2686.89,6416.2,3010.58,1164.43,2301.16,3995.6,1886.01,5289.48,772.63
 00035,Anusha Ramachandran,27,Retired,Tier_2,2,11296.83,2259.37,0.0,380.88,1382.73,763.56,553.77,456.43,701.87,503.31,804.28,202.74
 00036,Chandresh Jha,37,Professional,Tier_3,4,35455.85,5318.38,2757.06,715.15,4322.43,2783.75,951.33,1212.45,2596.99,1666.03,1978.03,976.52
 00037,Bhavini Pai,33,Self_Employed,Tier_2,3,6255.5,1251.1,867.81,300.65,841.29,457.47,234.35,301.52,459.16,244.88,380.39,123.62
 00038,Anusha Pai,23,Student,Tier_3,0,10367.22,1555.08,736.93,510.3,1072.11,763.02,292.24,237.31,788.0,468.32,0.0,106.25
 00039,Lekha Sheth,34,Retired,Tier_1,0,35117.04,10535.11,0.0,1157.89,3839.29,2433.65,1225.26,905.52,2256.48,1563.45,0.0,1015.76
 00040,Darika Suresh,23,Self_Employed,Tier_1,4,54161.52,16248.46,5389.56,1791.87,6609.12,4218.1,1305.24,2483.22,3827.45,1742.98,4771.63,599.71
