Identifier,Name,Age,Occupation,City_Tier,Dependents,Income,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous
bb0fe6d06cc153b8635440fd3638b589,c8b4c30e6fcdbaa4e0d1c3db732cb222,23,Retired,Tier_2,3,25166.0,5065.18,0.22,568.09,3126.91,2002.14,757.03,815.29,1940.71,938.04,1986.18,485.9
9f8921b372a89bdb616b822e3137e87d,afdff0db61720290465c6e30ac45ba92,48,Self_Employed,Tier_2,0,21709.45,4313.33,1.66,468.73,2534.51,1457.48,814.66,947.51,1045.55,757.98,1449.22,377.18
6b8de0031bb7c14e2d4a9305c5c50b23,2b379af688ea4197b678316f376d1764,30,Retired,Tier_2,2,40669.25,8160.43,4471.97,1201.45,6021.28,2998.56,1275.74,1737.36,2732.39,1699.98,2335.79,616.21
51693f158b2adacfc664eecc6681caa2,76fb68f64365f4c4d4ae96e208a3550c,37,Retired,Tier_2,3,34369.5,6747.6,2469.81,1298.66,4881.52,1691.44,1324.01,1509.83,2297.28,1335.21,2824.56,859.47
3f37d5d38725084a3f9fc2e3324a5132,6bdce18db7dad925adcba8f31fe46c6b,22,Student,Tier_2,1,28979.79,5809.44,4.36,695.69,3500.11,2165.89,597.55,1034.45,2193.08,1254.94,1733.76,367.69
9dc6a1f8d2fb68eeba7bdc4f1eb4e576,edce80222fca9e5d6dd9e9608331c342,40,Professional,Tier_1,0,13648.08,4052.7,11.86,458.43,1498.47,972.15,460.2,374.96,704.63,486.19,1179.41,328.15
7cd85869e5db6647562bf7a3e86f6c37,af3755083f57b4b922da422542d262e9,41,Self_Employed,Tier_2,0,12266.43,2452.04,1.85,274.11,1463.85,874.11,387.08,598.99,522.22,615.53,827.21,330.81
5f18d59225b1e2cfaa1e6a50c7369ec4,5f69476ae461acfbc3b3e3137175e32e,61,Self_Employed,Tier_2,3,21543.04,4295.47,4138.9,634.51,3005.63,1099.59,572.92,1000.79,1443.8,1029.83,2045.93,402.56
879ea2796751538faa1a5698a192a4c6,0b862888ca0aef1ee3270bcd6103be76,21,Retired,Tier_2,3,18850.97,3759.4,978.05,545.01,2674.56,1403.77,532.47,737.01,835.01,595.78,1473.5,396.45
e91294271a528e6efa57d9b297994d68,2d4b39e49bd0647d79f45d1e6ce21da8,18,Professional,Tier_3,1,26436.66,3973.31,2.69,612.88,3596.35,1537.97,749.1,543.59,1124.32,1150.52,2552.36,277.24
dcee11ce6b97bbdafa4a746b3d3b2fdb,3e717c5afa299cfd0574a4a67057f4af,38,Self_Employed,Tier_2,3,11685.49,2359.2,0.68,327.46,1517.82,794.09,443.11,427.23,844.36,522.9,669.38,297.84
7cb69c900476d6d0cb18416182e76c3a,fb4009989e1059928472a57e64c70666,43,Student,Tier_1,1,41276.17,12337.52,2.25,1097.75,5879.54,2722.71,1525.78,1367.41,2647.09,1620.21,2697.2,1124.9
b6e0b8497a2a36ccb95e2559d72cbbc7,f46c651e81b650de5e8126a4a4049635,21,Retired,Tier_1,2,87404.24,26141.92,4.57,2737.53,11969.93,6135.2,3750.73,2702.07,5767.15,3024.57,5882.19,2597.21
fa60e802b8ac37aafdf2d699d60600ab,ae1b5b1ce974e84917187be8dc970268,39,Self_Employed,Tier_2,1,26319.55,5199.56,4278.72,951.46,2752.5,1881.46,1026.05,974.16,1866.32,1102.1,1974.88,442.14
838ab2b612f42e1d11fb4ae2a59475e7,28d9abf30093c7b2c592cce1bd548490,60,Professional,Tier_2,1,46056.87,9215.48,2408.65,2300.79,6612.75,2331.23,1456.85,1626.32,3122.22,1533.18,3999.25,1091.68
eb7b14f782bfd39cee24300b36d26eb5,b4ffaaae0703499cdfb1df1694bd93d4,63,Retired,Tier_3,1,20684.41,3082.58,3423.31,1016.9,2973.73,1145.86,925.36,827.49,1459.83,1016.51,1440.81,251.17
1d5b8a50f18bb5c0b14b24480f6038e2,b857e187a66f7732e65e7ab7227c8a36,47,Self_Employed,Tier_3,2,116284.96,19044.21,1.15,4020.19,18126.5,10139.29,5660.02,5905.68,10717.12,5065.5,12282.24,3258.51
8ec6e8d4aac5b0f6bbc45a607515d87c,64992df352a667c89cbfaa25e4c84856,45,Professional,Tier_1,0,8865.42,2902.52,5.6,331.96,1271.53,670.04,239.13,220.18,557.06,324.26,4.47,210.93
b5f9c2aede8b30cdb7d1972b3731b571,d5cf291e21864d5594dc94f499ec702c,23,Student,Tier_2,1,31242.62,6352.09,5626.03,1189.56,3256.31,2142.03,1055.19,747.8,1451.51,1031.3,2365.82,471.45
